6 drones, 0.5 m/s, 10.666666666666666 spacing, 3 pattern, 4313.699999998162 s
6 drones, 0.5 m/s, 13.333333333333332 spacing, 1 pattern, 4404.8999999984935 s
6 drones, 0.5 m/s, 13.333333333333332 spacing, 2 pattern, 4429.299999998582 s
6 drones, 0.5 m/s, 13.333333333333332 spacing, 3 pattern, 4286.6999999980635 s
7 drones, 0.1 m/s, 2.6666666666666665 spacing, 1 pattern, 4474.099999998745 s
7 drones, 0.1 m/s, 2.6666666666666665 spacing, 2 pattern, 4069.3999999973944 s
7 drones, 0.1 m/s, 2.6666666666666665 spacing, 3 pattern, 5174.600000001294 s
7 drones, 0.1 m/s, 5.333333333333333 spacing, 1 pattern, 4368.499999998361 s
7 drones, 0.1 m/s, 5.333333333333333 spacing, 2 pattern, 4069.3999999973944 s
7 drones, 0.1 m/s, 5.333333333333333 spacing, 3 pattern, 5070.900000000916 s
7 drones, 0.1 m/s, 8.0 spacing, 1 pattern, 4257.899999997959 s
7 drones, 0.1 m/s, 8.0 spacing, 2 pattern, 4069.3999999973944 s
7 drones, 0.1 m/s, 8.0 spacing, 3 pattern, 4996.7000000006465 s
7 drones, 0.1 m/s, 10.666666666666666 spacing, 1 pattern, 4131.099999997497 s
7 drones, 0.1 m/s, 10.666666666666666 spacing, 2 pattern, 4069.3999999973944 s
7 drones, 0.1 m/s, 10.666666666666666 spacing, 3 pattern, 4913.300000000343 s
7 drones, 0.1 m/s, 13.333333333333332 spacing, 1 pattern, 4046.3999999974153 s
7 drones, 0.1 m/s, 13.333333333333332 spacing, 2 pattern, 4069.3999999973944 s
7 drones, 0.1 m/s, 13.333333333333332 spacing, 3 pattern, 4633.699999999326 s
7 drones, 0.2 m/s, 2.6666666666666665 spacing, 1 pattern, 4194.8999999977295 s
7 drones, 0.2 m/s, 2.6666666666666665 spacing, 2 pattern, 3957.699999997496 s
7 drones, 0.2 m/s, 2.6666666666666665 spacing, 3 pattern, 4957.4000000005035 s
7 drones, 0.2 m/s, 5.333333333333333 spacing, 1 pattern, 4046.499999997415 s
7 drones, 0.2 m/s, 5.333333333333333 spacing, 2 pattern, 3957.699999997496 s
7 drones, 0.2 m/s, 5.333333333333333 spacing, 3 pattern, 4521.899999998919 s
7 drones, 0.2 m/s, 8.0 spacing, 1 pattern, 3917.5999999975324 s
7 drones, 0.2 m/s, 8.0 spacing, 2 pattern, 3957.699999997496 s
7 drones, 0.2 m/s, 8.0 spacing, 3 pattern, 4315.99999999817 s
7 drones, 0.2 m/s, 10.666666666666666 spacing, 1 pattern, 3949.899999997503 s
7 drones, 0.2 m/s, 10.666666666666666 spacing, 2 pattern, 3957.699999997496 s
7 drones, 0.2 m/s, 10.666666666666666 spacing, 3 pattern, 4172.99999999765 s
7 drones, 0.2 m/s, 13.333333333333332 spacing, 1 pattern, 4033.0999999974274 s
7 drones, 0.2 m/s, 13.333333333333332 spacing, 2 pattern, 3957.699999997496 s
7 drones, 0.2 m/s, 13.333333333333332 spacing, 3 pattern, 3999.8999999974576 s
7 drones, 0.3 m/s, 2.6666666666666665 spacing, 1 pattern, 4055.399999997407 s
7 drones, 0.3 m/s, 2.6666666666666665 spacing, 2 pattern, 3901.399999997547 s
7 drones, 0.3 m/s, 2.6666666666666665 spacing, 3 pattern, 4575.999999999116 s
7 drones, 0.3 m/s, 5.333333333333333 spacing, 1 pattern, 3875.7999999975705 s
7 drones, 0.3 m/s, 5.333333333333333 spacing, 2 pattern, 3901.399999997547 s
7 drones, 0.3 m/s, 5.333333333333333 spacing, 3 pattern, 4238.799999997889 s
7 drones, 0.3 m/s, 8.0 spacing, 1 pattern, 3875.4999999975707 s
7 drones, 0.3 m/s, 8.0 spacing, 2 pattern, 3901.399999997547 s
7 drones, 0.3 m/s, 8.0 spacing, 3 pattern, 3964.39999999749 s
7 drones, 0.3 m/s, 10.666666666666666 spacing, 1 pattern, 3892.3999999975554 s
7 drones, 0.3 m/s, 10.666666666666666 spacing, 2 pattern, 3901.399999997547 s
7 drones, 0.3 m/s, 10.666666666666666 spacing, 3 pattern, 3786.199999997652 s
7 drones, 0.3 m/s, 13.333333333333332 spacing, 1 pattern, 3791.699999997647 s
7 drones, 0.3 m/s, 13.333333333333332 spacing, 2 pattern, 3901.399999997547 s
7 drones, 0.3 m/s, 13.333333333333332 spacing, 3 pattern, 3831.099999997611 s
7 drones, 0.4 m/s, 2.6666666666666665 spacing, 1 pattern, 3973.7999999974813 s
7 drones, 0.4 m/s, 2.6666666666666665 spacing, 2 pattern, 3885.8999999975613 s
7 drones, 0.4 m/s, 2.6666666666666665 spacing, 3 pattern, 4411.699999998518 s
7 drones, 0.4 m/s, 5.333333333333333 spacing, 1 pattern, 3823.7999999976178 s
7 drones, 0.4 m/s, 5.333333333333333 spacing, 2 pattern, 3885.8999999975613 s
7 drones, 0.4 m/s, 5.333333333333333 spacing, 3 pattern, 3991.1999999974655 s
7 drones, 0.4 m/s, 8.0 spacing, 1 pattern, 3838.899999997604 s
7 drones, 0.4 m/s, 8.0 spacing, 2 pattern, 3885.8999999975613 s
7 drones, 0.4 m/s, 8.0 spacing, 3 pattern, 3706.999999997724 s
7 drones, 0.4 m/s, 10.666666666666666 spacing, 1 pattern, 3756.499999997679 s
7 drones, 0.4 m/s, 10.666666666666666 spacing, 2 pattern, 3885.8999999975613 s
7 drones, 0.4 m/s, 10.666666666666666 spacing, 3 pattern, 3841.3999999976018 s
7 drones, 0.4 m/s, 13.333333333333332 spacing, 1 pattern, 3928.199999997523 s
7 drones, 0.4 m/s, 13.333333333333332 spacing, 2 pattern, 3885.8999999975613 s
7 drones, 0.4 m/s, 13.333333333333332 spacing, 3 pattern, 3927.6999999975233 s
7 drones, 0.5 m/s, 2.6666666666666665 spacing, 1 pattern, 3913.9999999975357 s
7 drones, 0.5 m/s, 2.6666666666666665 spacing, 2 pattern, 3886.8999999975604 s
7 drones, 0.5 m/s, 2.6666666666666665 spacing, 3 pattern, 4271.599999998009 s
7 drones, 0.5 m/s, 5.333333333333333 spacing, 1 pattern, 3798.5999999976407 s
7 drones, 0.5 m/s, 5.333333333333333 spacing, 2 pattern, 3886.8999999975604 s
7 drones, 0.5 m/s, 5.333333333333333 spacing, 3 pattern, 3807.7999999976323 s
7 drones, 0.5 m/s, 8.0 spacing, 1 pattern, 3733.7999999976996 s
7 drones, 0.5 m/s, 8.0 spacing, 2 pattern, 3886.8999999975604 s
7 drones, 0.5 m/s, 8.0 spacing, 3 pattern, 3809.6999999976306 s
7 drones, 0.5 m/s, 10.666666666666666 spacing, 1 pattern, 3858.499999997586 s
7 drones, 0.5 m/s, 10.666666666666666 spacing, 2 pattern, 3886.8999999975604 s
7 drones, 0.5 m/s, 10.666666666666666 spacing, 3 pattern, 3869.0999999975766 s
7 drones, 0.5 m/s, 13.333333333333332 spacing, 1 pattern, 3792.999999997646 s
7 drones, 0.5 m/s, 13.333333333333332 spacing, 2 pattern, 3886.8999999975604 s
7 drones, 0.5 m/s, 13.333333333333332 spacing, 3 pattern, 3796.5999999976425 s
8 drones, 0.1 m/s, 2.6666666666666665 spacing, 1 pattern, 4060.2999999974027 s
8 drones, 0.1 m/s, 2.6666666666666665 spacing, 2 pattern, 3664.999999997762 s
8 drones, 0.1 m/s, 2.6666666666666665 spacing, 3 pattern, 4490.0999999988035 s
8 drones, 0.1 m/s, 5.333333333333333 spacing, 1 pattern, 3970.2999999974845 s
8 drones, 0.1 m/s, 5.333333333333333 spacing, 2 pattern, 3664.999999997762 s
8 drones, 0.1 m/s, 5.333333333333333 spacing, 3 pattern, 4412.19999999852 s
8 drones, 0.1 m/s, 8.0 spacing, 1 pattern, 3889.1999999975583 s
8 drones, 0.1 m/s, 8.0 spacing, 2 pattern, 3664.999999997762 s
8 drones, 0.1 m/s, 8.0 spacing, 3 pattern, 4326.299999998208 s
8 drones, 0.1 m/s, 10.666666666666666 spacing, 1 pattern, 3784.6999999976533 s
8 drones, 0.1 m/s, 10.666666666666666 spacing, 2 pattern, 3664.999999997762 s
8 drones, 0.1 m/s, 10.666666666666666 spacing, 3 pattern, 4252.099999997938 s
8 drones, 0.1 m/s, 13.333333333333332 spacing, 1 pattern, 3675.199999997753 s
8 drones, 0.1 m/s, 13.333333333333332 spacing, 2 pattern, 3664.999999997762 s
8 drones, 0.1 m/s, 13.333333333333332 spacing, 3 pattern, 4205.499999997768 s
8 drones, 0.2 m/s, 2.6666666666666665 spacing, 1 pattern, 3803.2999999976364 s
8 drones, 0.2 m/s, 2.6666666666666665 spacing, 2 pattern, 3363.699999998036 s
8 drones, 0.2 m/s, 2.6666666666666665 spacing, 3 pattern, 4274.999999998021 s
8 drones, 0.2 m/s, 5.333333333333333 spacing, 1 pattern, 3683.5999999977453 s
8 drones, 0.2 m/s, 5.333333333333333 spacing, 2 pattern, 3363.699999998036 s
